fgdc313	GNS (NIMA)	 "Illinois | Chicago"
fgdc314	GNIS	 "Kansas"
fgdc315	GNS (NIMA)	 "Italy | Florence"
fgdc316	GNIS	 "Massachusetts | Boston | Jamaica Plain"
fgdc317	GNS	 "Cote d'Ivoire | Guinea | Liberia | Sierra Leone"
fgdc318	GNIS	 "North Korea | Democratic People's Republic of Korea"
fgdc319	GNIS	 "New Hampshire"
fgdc32	GNIS	 "Massachusetts"
fgdc320	GNS (NIMA)	 "France | Paris"
fgdc321	GNIS	 "Massachusetts | Boston | Boston Harbor | Arlington | Belmont | Braintree | Brookline | Burlington | Cambridge | Chelsea | Cohasset | Dedham | Everett | Hingham | Hull | Lexington | Lynn | Malden | Marblehead | Medford | Melrose | Milton | Nahant | Needham | Newton | Quincy | Revere | Saugus | Somerville | Stoneham | Swampscott | Wakefield | Waltham | Watertown | Westwood | Weymouth | Winchester | Winthrop | Woburn"
fgdc322	LCSH	 "Earth | Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Polar regions | Antarctica | Arctic regions | Africa | Asia | Australia | Europe | North America | South America"
fgdc323	GNS	 "United Kingdom | England | Cornwall"
fgdc324	GNIS	 "Nevada"
fgdc325	LCSH	 "Earth | Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Africa | Asia | Australia | Europe | North America | South America | Polar regions"
fgdc326	GNIS	 "Massachusetts | Boston"
fgdc327	GNIS	 "New York (State)"
fgdc328	LCSH	 "Earth | Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Africa | Asia | Australia | Europe | North America | South America | Arctic regions"
fgdc329	GNS	 "Algeria | El Kseibat"
fgdc33	LCSH	 "Northern Hemisphere | Southern Hemisphere | Eastern Hemisphere | Western Hemisphere | Africa | Asia | Australia | Europe | North America | South America | Polar regions | Earth"
fgdc330	GNIS	 "New York"
fgdc331	GNIS	 "Massachusetts"
fgdc332	GNS (NIMA)	 "Greece | Athens | Athina"
fgdc333	LCSH	 "United States"
fgdc334	LCSH	 "Mexico"
fgdc335	GNS	 "Netherlands | Rotterdam"
fgdc336	GNIS	 "UA Census Hydrographic Features, 2000 - Hawaii"
fgdc337	None	 "United States | Arkansas"
fgdc338	GNIS	 "Washington | King County"
fgdc339	GNIS	 "Massachusetts | Boston | Dorchester"
fgdc34	GNS	 "Djibouti | Eritrea | Ethiopia | Somalia | Yemen"
fgdc340	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	 "Massachusetts"
fgdc341	GNIS	 "Michigan"
fgdc342	GNS (NIMA)	 "Netherlands | Amsterdam"
fgdc343	GNIS	 "South Carolina"
fgdc344	GNS (NIMA)	 "China | Kuang-chou | Guangzhou | Canton | Guangdong Sheng"
fgdc344	None	 "Guangdong Province"
fgdc345	GNIS	 "West Virginia"
fgdc346	GNS	 "Netherlands | Amsterdam"
fgdc347	GNIS	 "Massachusetts | Boston"
fgdc348	GNS (NIMA)	 "China | Lo-yang | Luoyang | Honanfu | Henan Sheng | Shanxi Sheng"
fgdc348	None	 "Henan Province | Shanxi Province"
fgdc349	GNIS	 "Nevada"
fgdc35	GNS	 "Anguilla | Antigua and Barbuda | Aruba | Bahamas, The | Barbados | Belize | Bermuda | British Virgin Islands | Cayman Islands | Colombia | Costa Rica | Cuba | Curaçao | Dominica | Dominican Republic | El Salvador | Grenada | Guadeloupe | Guatemala | Haiti | Honduras | Jamaica | Martinique | Mexico | Montserrat | Nicaragua | Panama | Puerto Rico | Saint Kitts and Nevis | Saint Lucia | Saint Martin | Saint Vincent and the Grenadines | Sint Maarten | Trinidad and Tobago | Turks and Caicos Islands | United States | Venezuela | Virgin Islands"
fgdc35	LCSH	 "Central America | Caribbean Area"
fgdc350	GNIS	 "New Hampshire"
fgdc351	GNS	 "China | Beijing"
fgdc352	GNIS	 "Tennessee"
fgdc353	GNIS	 "Indiana"
fgdc354	GNIS	 "Illinois"
fgdc355	LCSH	 "United States"
fgdc356	None	 "Germany | German Confederation | Central Europe"
fgdc356	GNS	 "Germany | Poland | Kaliningrad Oblast | Belgium | Czech Republic | Lithuania"
fgdc357	GNS	 "Afghanistan | Bangladesh | Bhutan | Burma | China | India | Indonesia | Iran | Maldives | Nepal | Pakistan | Sri Lanka"
fgdc357	LCSH	 "South Asia"
fgdc358	GNIS	 "Massachusetts"
fgdc359	GNIS	 "Atlantic Ocean | Maine | Penobscot Bay"
fgdc36	GNS	 "Netherlands | Rotterdam"
fgdc360	GNIS	 "New York | Erie Canal | Champlain Canal"
fgdc360	GNS (NIMA)	 "Canada | Ontario"
fgdc361	GNIS	 "Washington | King County | Vashon Island | Maury Island"
fgdc362	GNIS	 "Kentucky"
fgdc363	GNS (NIMA)	 "Fiji | Vatoa Island | Vuata Vatoa"
fgdc364	GNIS	 "Vermont"
fgdc365	GNS	 "Norwegian Sea | Barents Sea"
fgdc365	GNS	 "Norway | Sør-Trøndelag | Nord-Trøndelag | Nordland | Troms | Finnmark"
fgdc366	GNS	 "Mediterranean Sea | Black Sea | Albania | Armenia | Azerbaijan | Bosnia and Herzegovina | Bulgaria | Croatia | Cyprus | Egypt | Gaza Strip | Georgia | Greece | Hungary | Israel | Italy | Jordan | Kazakhstan | Lebanon | Libya | Macedonia | Moldova | Montenegro | Poland | Romania | Russia | Saudi Arabia | Serbia | Slovakia | Syria | Turkey | Ukraine | West Bank"
fgdc366	LCSH	 "Europe | Africa, North | Middle East"
fgdc367	GNIS	 "Texas"
fgdc368	LCSH	 "United States | Puerto Rico"
fgdc369	GNIS	 "Utah"
fgdc37	GNS	 "Nicaragua | Jinotega, Departamento de | Jinotega"
fgdc370	LCSH	 "United States | Puerto Rico"
fgdc371	GNIS	 "Massachusetts | Boston | South End"
fgdc372	GNS	 "Nicaragua | Granada, Departamento de | Masaya, Departamento de | Granada"
fgdc373	GNS	 "Algeria | I-n-Salah"
fgdc374	GNS (NIMA)	 "China | I-pin | Yibin | Suifu | Sichuan Sheng | Yunnan Sheng | Yunnan Province"
fgdc374	None	 "Sichuan Province"
fgdc375	GNS (NIMA)	 "Italy | Florence"
fgdc376	GNIS	 "Massachusetts"
fgdc377	GNIS	 "Michigan"
fgdc378	GNIS	 "Massachusetts | Barre"
fgdc379	GNIS	 "Idaho"
fgdc38	GNIS	 "Kansas"
fgdc380	GNIS	 "Nebraska"
fgdc381	GNS (NIMA)	 "Rhode Island | Providence | Cranston | East Providence | Johnston | North Providence | Warwick"
fgdc382	GNS	 "Netherlands | Amsterdam"
fgdc383	GNS	 "Guatemala | Izabal, Departamento de | Puerto Barrios"
fgdc384	GNIS	 "Massachusetts | Boston | Roxbury"
fgdc385	GNS	 "Netherlands | The Hague"
fgdc386	None	 "Germany | German Confederation | Central Europe"
fgdc386	GNS	 "Germany | Poland | Kaliningrad Oblast | Belgium | Czech Republic | Denmark | France | Lithuania | Luxembourg"
fgdc387	GNIS	 "Massachusetts | Cambridge"
fgdc388	GNIS	 "Texas"
fgdc389	GNS	 "El Salvador | San Salvador, Departamento de | La Libertad, Departamento de | San Salvador"
fgdc39	GNIS	 "Louisiana"
fgdc390	GNIS	 "Alaska"
fgdc391	GNIS	 "Montana"
fgdc391	INCITS.38-200x (R2004),INCITS.31-200x (R2007),INCITS.454-200x,INCITS 455-200x,INCITS 446-2008	 "United States | U.S. | State or Equivalent Entity | Montana | MT | 30"
fgdc392	GNS (NIMA)	 "United Kingdom | Cambridgeshire | Cambridge"
fgdc393	GNIS	 "Massachusetts | Plymouth | Kingston | Carver"
fgdc394	GNIS	 "Washington | King County | Snohomish County | Pierce County"
fgdc395	GNIS	 "Massachusetts | Boston | Dorchester"
fgdc396	GNS	 "Nicaragua | Managua, Departamento de | Tipitapa"
fgdc397	LCSH	 "United States | Puerto Rico"
fgdc398	GNIS	 "Maine"
fgdc399	GNIS	 "Ohio"
fgdc4	GNIS	 "Tennessee"
fgdc40	GNIS	 "South Dakota"
fgdc400	GNIS	 "Massachusetts | Boston"
fgdc401	GNIS	 "Arkansas"
fgdc402	GNS	 "Kenya"
fgdc403	GNIS	 "Massachusetts | Boston | Cambridge"
fgdc404	LCSH	 "United States"
fgdc405	GNIS	 "Iowa"
fgdc406	GNS (NIMA)	 "Sweden | Stockholm"
fgdc407	GNIS	 "Michigan"
fgdc408	GNIS	 "Oklahoma"
fgdc409	GNS (NIMA)	 "India | Andhra Pradesh"
fgdc41	GNIS	 "Massachusetts | Boston | Dorchester"
fgdc410	GNIS	 "West Virginia"
fgdc411	United States Geological Survey (USGS) Geographic Names Information System (GNIS)	 "Massachusetts"
fgdc412	GNIS	 "Indiana"
fgdc413	LCSH	 "Europe"
fgdc414	GNS	 "Algeria | Libya"
fgdc415	GNS (NIMA)	 "India | Chhattisgarh"
fgdc416	GNS	 "Nicaragua | Leon, Departamento de | Leon"
fgdc417	GNIS	 "American Samoa"
fgdc418	GNIS	 "Florida"
fgdc419	GNIS	 "Northern Mariana Islands"
fgdc42	GNIS	 "Washington | King County"
fgdc420	GNIS	 "Massachusetts | Boston | West Roxbury"
fgdc421	GNS	 "Guatemala | Suchitepequez, Departamento de | Mazatenango"
